[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_barcode_tumor: TEXT | TCGA aliquot barcode for the tumor, eg TCGA-12-1089-01A-01D-0517-01
ASN_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined Asian population
MINIMISED: TEXT | Alleles in this variant have been converted to minimal representation before consequence calculation (1 or null)
TSL: NUMBER | Transcript support level, which is based on independent RNA analyses
ALLELE_NUM: TEXT | Allele number from input; 0 is reference, 1 is first alternate etc.
HIGH_INF_POS: TEXT | A flag indicating if the variant falls in a high information position of a transcription factor binding profile (TFBP) (Y, N, or null)
HGVSp: TEXT | The protein sequence of the variant in HGVS recommended format. p.= signifies no change in the protein
ENSP: TEXT | The Ensembl protein identifier of the affected transcript
Sequencer: TEXT | Instrument used to produce primary sequence data
Existing_variation: TEXT | Known identifier of existing variation
Tumor_Validation_Allele1: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
Tumor_Seq_Allele2: TEXT | Primary data genotype for tumor sequencing (discovery) allele 2. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
SYMBOL_SOURCE: TEXT | The source of the gene symbol, usually HGNC, rarely blank, other sources include Uniprot_gn, EntrezGene, etc
PolyPhen: TEXT | The PolyPhen prediction and/or score
MOTIF_SCORE_CHANGE: TEXT | The difference in motif score of the reference and variant sequences for the TFBP
ExAC_AF_OTH: TEXT | Other Allele Frequency from ExAC
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
Matched_Norm_Sample_UUID: TEXT | Unique GDC identifier for the matched normal sample
normal_bam_uuid: TEXT | GDC UUID for the normal bam file
MOTIF_POS: TEXT | The relative position of the variation in the aligned TFBP
callerName: TEXT | |-delimited list of mutation caller(s) that agreed on this particular call, always in alphabetical order: muse, mutect, somaticsniper, varscan
MC3_Overlap: TEXT | Indicates whether this region overlaps with an MC3 variant for the same sample pair
dbSNP_Val_Status: TEXT | The dbSNP validation status is reported as a semicolon-separated list of statuses. The union of all rs-IDs is taken when there are multiple
AFR_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined African population
SWISSPROT: TEXT | UniProtKB/Swiss-Prot accession
aliquot_barcode_normal: TEXT | TCGA aliquot barcode for the normal control, eg TCGA-12-1089-01A-01D-0517-01
HGNC_ID: TEXT | Gene identifier from the HUGO Gene Nomenclature Committee if applicable
Tumor_Sample_UUID: TEXT | GDC aliquot UUID for tumor sample
Center: TEXT | One or more genome sequencing center reporting the variant
Sequence_Source: TEXT | Molecular assay type used to produce the analytes used for sequencing. Allowed values are a subset of the SRA 1.5 library_strategy field values. This subset matches those used at CGHub
ExAC_AF_AMR: TEXT | American Allele Frequency from ExAC

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R33P1
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling, etc
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
program_name: TEXT | Program name, eg TCGA or TARGET
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
file_name_key: TEXT | GDC path to original BAM or VCF file
file_size: NUMBER | The size of a file measured in bytes
index_file_id: TEXT | BAM or VCF index file GDC file UUID, when present
platform: TEXT | Platform used to generate data (null, Illumina)
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
access: TEXT | Data accessibility policy (open or controlled)
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
index_file_size: NUMBER | The size of the index file measured in bytes, when present
index_file_name_key: TEXT | GDC path to original vcf or bam index file, when present
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44

## TCGA_VERSIONED.COPY_NUMBER_SEGMENT_MASKED_HG19_GDC_2017_02
end_pos: NUMBER | 1-based end chromosome position of CN segment end- position
segment_mean: FLOAT | Mean CN value for this segment -- the value is base2 log(CN/2), centered at 0
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
start_pos: NUMBER | 1-based start chromosome position of CN segment start-position
chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
num_probes: NUMBER | Number of probes in the SNP array used to infer this CN segment
platform: TEXT | Platform used to generate these data (Genome_Wide_SNP_6 for this data)
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries

## TCGA_VERSIONED.DNA_METHYLATION_CHRX_HG19_GDC_2017_01
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe

## TCGA_VERSIONED.DNA_METHYLATION_CHR3_HG19_GDC_2017_01
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)

## TCGA_VERSIONED.DNA_METHYLATION_CHR18_HG19_GDC_2017_01
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A

## TCGA_VERSIONED.MASKED_SOMATIC_MUTATION_HG38_GDC_R34
CLIN_SIG: TEXT | Clinical significance of variant from dbSNP
gnomAD_NFE_AF: FLOAT | Frequency of existing variant in gnomAD exomes Non-Finnish European population
all_effects: TEXT | A semicolon delimited list of all possible variant effects, sorted by priority ([Symbol,Consequence,HGVSp_Short,Transcript_ID,RefSeq,HGVSc,Impact,Canonical,Sift,PolyPhen,Strand])
Sequencing_Phase: TEXT | TCGA sequencing phase (if applicable). Phase should change under any circumstance that the targets under consideration change
Exon_Number: TEXT | The exon number (out of total number)
UNIPARC: TEXT | UniParc identifier of protein product
Tumor_Aliquot_Barcode: TEXT | Aliquot barcode for the tumor sample
mutect2: TEXT | Mutect2 caller identified the variant at this position
n_ref_count: TEXT | Read depth supporting the reference allele in normal BAM (cleared in somatic MAF)
Sequence_Source: TEXT | Molecular assay type used to produce the analytes used for sequencing. Allowed values are a subset of the SRA 1.5 library_strategy field values. This subset matches those used at CGHub
Verification_Status: TEXT | Second pass results from independent attempt using same methods as primary data source. Generally reserved for 3730 Sanger Sequencing
GDC_FILTER: TEXT | GDC filters applied universally across all MAFs
Tumor_Seq_Allele1: TEXT | Primary data genotype for tumor sequencing (discovery) allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
Center: TEXT | One or more genome sequencing center reporting the variant
aliquot_barcode_tumor: TEXT | TCGA aliquot barcode for the tumor, eg TCGA-12-1089-01A-01D-0517-01
HGVSp: TEXT | The protein sequence of the variant in HGVS recommended format. p.= signifies no change in the protein
RNA_alt_count: TEXT | Read depth supporting the variant allele at this locus if the variant is supported by tumor RNA-seq data.
gnomAD_non_cancer_EAS_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer East Asian population
primary_site: TEXT | Anatomical site of the cancer under investigation or review
EXON: TEXT | The exon number (out of total number)
pindel: TEXT | pindel caller identified the variant at this position
Tumor_Validation_Allele1: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
Feature: TEXT | Stable Ensembl ID of feature (transcript, regulatory, motif)
Validation_Status: TEXT | Second pass results from orthogonal technology
TRANSCRIPT_STRAND: TEXT | The DNA strand (1 or -1) on which the transcript/feature lies
ThousG_EAS_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined East Asian population
ThousG_AFR_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined African population
Reference_Allele: TEXT | The plus strand reference allele at this position. Includes the deleted sequence for a deletion or - for an insertion
ESP_EA_AF: FLOAT | Non-reference allele and frequency of existing variant in NHLBI-ESP European American population
MOTIF_SCORE_CHANGE: TEXT | The difference in motif score of the reference and variant sequences for the TFBP
CANONICAL: TEXT | A flag (YES) indicating that the VEP-based canonical transcript, the longest translation, was used for this gene. If not, the value is null
Matched_Norm_Aliquot_Barcode: TEXT | Aliquot barcode for the matched normal sample
Protein_position: TEXT | Relative position of affected amino acid in protein. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
cDNA_position: TEXT | Relative position of base pair in the cDNA sequence as a fraction. A - symbol is displayed as the numerator if the variant does not appear in cDNA
gnomAD_non_cancer_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes combined non-cancer population
gnomAD_non_cancer_MID_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Middle Eastern population
PolyPhen: TEXT | The PolyPhen prediction and/or score
n_alt_count: TEXT | Read depth supporting the variant allele in normal BAM (cleared in somatic MAF)
ENSP: TEXT | The Ensembl protein identifier of the affected transcript
CCDS: TEXT | The  CCDS identifier for this transcript, where applicable
SYMBOL: TEXT | Eg TP53, LRP1B, etc (same as Hugo_Symbol field except blank instead of Unknown
Tumor_Aliquot_UUID: TEXT | Unique GDC identifier for tumor aliquot (10189 unique)
gnomAD_non_cancer_AMI_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Amish population
Strand: TEXT | Either + or - to denote whether read mapped to the sense (+) or anti-sense (-) strand
IMPACT: TEXT | The impact modifier for the consequence type
SIFT: TEXT | The SIFT prediction and/or score, with both given as prediction (score)
gnomAD_non_cancer_FIN_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Finnish population
Entrez_Gene_Id: NUMBER | Entrez gene ID (an integer). 0 is used for regions that do not correspond to a gene region or Ensembl ID
HGVSp_Short: TEXT | Same as the HGVSp column, but using 1-letter amino-acid codes
gnomAD_SAS_AF: FLOAT | Frequency of existing variant in gnomAD exomes South Asian population
dbSNP_RS: TEXT | The rs-IDs from the   dbSNP database, novel if not found in any database used, or null if there is no dbSNP record, but it is found in other databases
gnomAD_AF: FLOAT | Frequency of existing variant in gnomAD exomes combined population
NCBI_Build: TEXT | The reference genome used for the alignment (GRCh38)
HGVSc: TEXT | The coding sequence of the variant in HGVS recommended format
Match_Norm_Seq_Allele1: TEXT | Primary data genotype. Matched normal sequencing allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases (cleared in somatic MAF)
ThousG_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes
SOMATIC: TEXT | Somatic status of each ID reported under Existing_variation (0, 1, or null)
tumor_submitter_uuid: TEXT | Unique GDC identifier for the tumor file submitter
varscan2: TEXT | Varscan2 caller identified the variant at this position
PHENO: TEXT | Indicates if existing variant is associated with a phenotype, disease or trait (0, 1, or null)
muse: TEXT | Muse caller identified the variant at this position
case_barcode: TEXT | Original case barcode, eg TCGA-DX-A8BN
ThousG_EUR_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined European population
file_gdc_id: TEXT | |-delimited list of unique GDC identifiers for underlying MAF file
VARIANT_CLASS: TEXT | Sequence Ontology variant class
SWISSPROT: TEXT | UniProtKB/Swiss-Prot accession
Start_Position: NUMBER | Lowest numeric position of the reported variant on the genomic reference sequence. Mutation start coordinate
gnomAD_non_cancer_NFE_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Non-Finnish European population
Chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
DOMAINS: TEXT | The source and identifier of any overlapping protein domains
gnomAD_non_cancer_OTH_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Other population
Gene: TEXT | The gene symbol. In this table, gene symbol is gene name e.g. ACADVL
PUBMED: TEXT | Pubmed ID(s) of publications that cite existing variant
gnomAD_AMR_AF: FLOAT | Frequency of existing variant in gnomAD exomes American population
hotspot: BOOLEAN | A flag indicating if the variant is a known hotspot (Y, N, or null)
MOTIF_NAME: TEXT | The source and identifier of a transcription factor binding profile aligned at this position
normal_submitter_uuid: TEXT | Unique GDC identifier for the normal file submitter
aliquot_barcode_normal: TEXT | TCGA aliquot barcode for the normal control, eg TCGA-12-1089-01A-01D-0517-01
BAM_File: TEXT | Not in use
Tumor_Seq_Allele2: TEXT | Primary data genotype for tumor sequencing (discovery) allele 2. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
gnomAD_non_cancer_AMR_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Latino population
case_id: TEXT | Unique GDC identifier for the underlying case
t_depth: NUMBER | Read depth across this locus in tumor BAM
Sequencer: TEXT | Instrument used to produce primary sequence data
CDS_position: TEXT | Relative position of base pair in coding sequence. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
callers: TEXT | A semicolon delimited list of supporting variant callers. If an asterisk is added to the caller name, this indicates the locus is a complex variant and this caller overlapped but did not support (e.g., not all callers can detect MNPs)
Match_Norm_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Matched normal genotyping (validation) for allele 2 (cleared in somatic MAF)
gnomAD_non_cancer_AFR_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer African/American population
ThousG_SAS_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined South Asian population
gnomAD_non_cancer_MAX_AF_POPS_adj: TEXT | Non-cancer gnomAD genomes populations in which the maximum allele frequency was observed after removing those with less than 2 allele counts
gnomAD_EAS_AF: FLOAT | Frequency of existing variant in gnomAD exomes East Asian population
gnomAD_OTH_AF: FLOAT | Frequency of existing variant in gnomAD exomes other combined population
gnomAD_AFR_AF: FLOAT | Frequency of existing variant in gnomAD exomes African/American population
Tumor_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 2
End_Position: NUMBER | Highest numeric genomic position of the reported variant on the genomic reference sequence. Mutation end coordinate
t_alt_count: NUMBER | Read depth supporting the variant allele in tumor BAM
gnomAD_ASJ_AF: FLOAT | Frequency of existing variant in gnomAD exomes Ashkenazi Jewish population
RNA_depth: TEXT | Read depth at this locus if the variant is supported by tumor RNA-seq data.
MOTIF_POS: TEXT | The relative position of the variation in the aligned TFBP
miRNA: TEXT | SO terms of overlapped miRNA secondary structure feature(s)
Validation_Method: TEXT | The assay platforms used for the validation call
Transcript_ID: TEXT | Ensembl ID of the transcript affected by the variant
CONTEXT: TEXT | The reference allele per VCF specs, and its five flanking base pairs
Feature_type: TEXT | Type of feature. Currently one of Transcript, RegulatoryFeature, MotifFeature (or blank)
BIOTYPE: TEXT | Biotype of transcript
One_Consequence: TEXT | The single consequence of the canonical transcript in  sequence ontology terms, eg missense_variant
TSL: TEXT | Transcript support level, which is based on independent RNA analyses
MANE: TEXT | MANE (Matched Annotation by NCBI and EMBL-EBI) Transcript
Amino_acids: TEXT | Amino acid substitution caused by the mutation. Only given if the variation affects the protein-coding sequence
SYMBOL_SOURCE: TEXT | The source of the gene symbol, usually HGNC, rarely blank, other sources include Uniprot_gn, EntrezGene, etc
GENE_PHENO: TEXT | Indicates if gene that the variant maps to is associated with a phenotype, disease or trait (0, 1, or null)
TRANSCRIPTION_FACTORS: TEXT | List of transcription factors which bind to the transcription factor binding profile
HGNC_ID: TEXT | Gene identifier from the HUGO Gene Nomenclature Committee if applicable
PICK: TEXT | Indicates if this block of consequence data was picked by VEP's   pick feature (1 or null)
COSMIC: TEXT | Overlapping COSMIC variants
HGVS_OFFSET: TEXT | Indicates by how many bases the HGVS notations for this variant have been shifted
Variant_Classification: TEXT | Translational effect of variant allele
ThousG_AMR_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined American population
MAX_AF_POPS: TEXT | Populations in which maximum allele frequency was observed
gnomAD_non_cancer_ASJ_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Ashkenazi Jewish population
UNIPROT_ISOFORM: TEXT | Direct mappings to UniProtKB isoforms
FLAGS: TEXT | Transcript quality flags
n_depth: NUMBER | Read depth across this locus in normal BAM
sample_barcode_normal: TEXT | TCGA sample barcode for the normal control, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
Existing_variation: TEXT | Known identifier of existing variation
RNA_Support: TEXT | Indicates if the variant is found and alleles (Match), simply (Overlap), or is not supported (No) by tumor RNA-Seq. If it has not been checked against RNA-Seq data, the value will be 'Unknown'.
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
ESP_AA_AF: FLOAT | Non-reference allele and frequency of existing variant in NHLBI-ESP African American population
RNA_ref_count: TEXT | Read depth supporting the reference allele at this locus if the variant is supported by tumor RNA-seq data.
sample_barcode_tumor: TEXT | TCGA sample barcode for the tumor, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
gnomAD_non_cancer_MAX_AF_adj: FLOAT | Maximum observed allele frequency in non-cancer gnomAD genomes populations after removing subpopulations with less than 2 allele counts
APPRIS: TEXT | Annotates alternatively spliced transcripts as primary or alternate based on a range of computational methods
DISTANCE: TEXT | Shortest distance from the variant to transcript
MAX_AF: FLOAT | Maximum observed allele frequency in 1000 Genomes, ESP and ExAC/gnomAD
Hugo_Symbol: TEXT | HUGO symbol for the gene (HUGO symbols are always in all caps). Unknown is used for regions that do not correspond to a gene
Consequence: TEXT | Consequence type of this variant; sequence ontology terms
Matched_Norm_Aliquot_UUID: TEXT | Unique GDC identifier for normal aliquot (10189 unique)
Variant_Type: TEXT | Type of mutation. TNP (tri-nucleotide polymorphism) is analogous to DNP (di-nucleotide polymorphism) but for three consecutive nucleotides. ONP (oligo-nucleotide polymorphism) is analogous to TNP but for consecutive runs of four or more (SNP, DNP, TNP, ONP, INS, DEL, or Consolidated)
gnomAD_FIN_AF: FLOAT | Frequency of existing variant in gnomAD exomes Finnish population
RefSeq: TEXT | RefSeq identifier for this transcript
INTRON: TEXT | The intron number (out of total number)
Match_Norm_Validation_Allele1: TEXT | Secondary data from orthogonal technology. Matched normal genotyping (validation) for allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases (cleared in somatic MAF)
Score: TEXT | Not in use
t_ref_count: NUMBER | Read depth supporting the reference allele in tumor BAM
gnomAD_non_cancer_SAS_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer South Asian population
Allele: TEXT | The variant allele used to calculate the consequence
Codons: TEXT | The alternative codons with the variant base in upper case
TREMBL: TEXT | UniProtKB/TrEMBL identifier of protein product
dbSNP_Val_Status: TEXT | The dbSNP validation status is reported as a semicolon-separated list of statuses. The union of all rs-IDs is taken when there are multiple
somaticsniper: TEXT | Somaticsniper caller identified the variant at this position
Match_Norm_Seq_Allele2: TEXT | Matched normal sequencing allele 2
HIGH_INF_POS: TEXT | A flag indicating if the variant falls in a high information position of a transcription factor binding profile (TFBP) (Y, N, or null)
Mutation_Status: TEXT | An assessment of the mutation as somatic, germline, LOH, post transcriptional modification, unknown, or none. The values allowed in this field are constrained by the value in the Validation_Status field

## TCGA_VERSIONED.COPY_NUMBER_GENE_LEVEL_HG38_GDC_R36
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
primary_site: TEXT | Anatomical site of the cancer under investigation or review
copy_number: NUMBER | The weighted median of the strand copy numbers. Gene-level copy number data is generated by intersection of copy number segment and gene ranges. It is possible for one gene to overlap with multiple segments, and in this case, copy_number, min_copy_number and max_copy_number could take different values. In particular, the copy_number value is calculated as the median, weighted on length of overlapped bases, of segment copy numbers from all overlapped segments.
gene_type: TEXT | The type of genetic element the reads mapped to, eg. protein_coding, ribozyme
end_pos: NUMBER | 1-based end chromosome position of isoform
gene_name: TEXT | Gene name eg. TTN, DDR1
start_pos: NUMBER | 1-based start chromosome position of isoform
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba17
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-02
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba10
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
Ensembl_gene_id: TEXT | The Ensembl gene ID from the underlying file, but stripped of the version suffix -- eg. ENSG00000185028
chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
min_copy_number: NUMBER | The lowest copy number for overlapped segment (copy number variant only).
case_barcode: TEXT | Original case barcode, eg TCGA-DX-A8BN
Ensembl_gene_id_v: TEXT | The Ensembl gene ID from the underlying file, including the version suffix -- eg. ENSG00000235943.1
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
max_copy_number: NUMBER | The highest copy number for overlapped segment (copy number variant only).

## TCGA_VERSIONED.RNASEQ_HG38_GDC_R28
Ensembl_gene_id: TEXT | The Ensembl gene ID from the underlying file, but stripped of the version suffix -- eg ENSG00000185028
case_barcode: TEXT | Original case barcode
file_gdc_id_fpkm: TEXT | Unique GDC identifier for the file containing FPKM values (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba43
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba36
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform used to generate data; either IlluminaHiSeq or IlluminaGA
gene_type: TEXT | The type of genetic element the reads mapped to, eg protein_coding, ribozyme
file_gdc_id_counts: TEXT | Unique GDC identifier for the file containing counts values (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba43
Ensembl_gene_id_v: TEXT | The Ensembl gene ID from the underlying file, including the version suffix  --  eg ENSG00000235943.1
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-31
file_gdc_id_fpkm_uq: TEXT | Unique GDC identifier for the file containing FPKM UQ values (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba43
sample_barcode: TEXT | sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
primary_site: TEXT | Anatomical site of the cancer under investigation or review
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
HTSeq__FPKM: FLOAT | FPKM is implemented at the GDC on gene-level read counts that are produced by HTSeq1 and generated using custom. scripts https://docs.gdc.cancer.gov/Encyclopedia/pages/HTSeq-FPKM/
gene_name: TEXT | Gene name e.g. TTN, DDR1, etc.
