[COMPONENTS]
@C1
demo__age_at_index: NUMBER | The patient's age (in years) on the reference or anchor date date used during date obfuscation.

@C31
Ensembl_gene_id: TEXT | The Ensembl gene ID from the underlying file, but stripped of the version suffix -- eg ENSG00000185028
Ensembl_gene_id_v: TEXT | The Ensembl gene ID from the underlying file, including the version suffix  --  eg ENSG00000235943.1

@C32
fileUUID: TEXT | Unique GDC identifier for the underlying MAF file(s)
Matched_Norm_Sample_UUID: TEXT | Unique GDC identifier for the matched normal sample
normal_bam_uuid: TEXT | GDC UUID for the normal bam file
src_vcf_id: TEXT | GDC UUID for the input VCF file
tumor_bam_uuid: TEXT | GDC UUID for the tumor bam file
Tumor_Sample_UUID: TEXT | GDC aliquot UUID for tumor sample

@C33
antibody_source: TEXT | Animal of origin for the antibody M (Mouse), R (Rabbit), G (Goat)
phospho: TEXT | If the antibody targets a phosphorylated protein, this field will contain that information, eg pS473  --  otherwise this field will be null
protein_base_name: TEXT | Protein name e.g. AR, MAPK
protein_expression: FLOAT | Expression level of protein as measured by reverse-phase protein arrays. https://bioinformatics.mdanderson.org/public-software/tcpa/
protein_name: TEXT | Protein symbol with phosphorylation status, eg ACC_pS79

@C34
diag__treat__created_datetime: TEXT | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__treat__updated_datetime: TEXT | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]

@C35
phosphorylation_sites: TEXT | Single letter codes and protein sequence positions of the phosphorylated amino acids (e.g. t304s310, t59)
refseq_id: TEXT | Unique identifier given to a sequence in the NCBI RefSeq database

@C36
prior_malignancy: BOOLEAN | The yes/no/unknown indicator used to describe the patient's history of prior cancer diagnosis
prior_treatment: BOOLEAN | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received before the body specimen was collected

@C37
num_probes: NUMBER | Number of probes in the SNP array used to infer this CN segment
segment_mean: FLOAT | Mean CN value for this segment -- the value is base2 log(CN/2), centered at 0

@C38
batch_number: NUMBER | The BCR Batch Code; see https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/bcr-batch-codes for explanation of the codes
bcr: TEXT | Biospecimen Core Resource; e.g. Nationwide Children's Hospital, Washington University

@C39
HTSeq__Counts: NUMBER | Number of mapped reads to each gene as calculated by the Python package HTSeq. https://docs.gdc.cancer.gov/Encyclopedia/pages/HTSeq-Counts/
HTSeq__FPKM: FLOAT | FPKM is implemented at the GDC on gene-level read counts that are produced by HTSeq1 and generated using custom. scripts https://docs.gdc.cancer.gov/Encyclopedia/pages/HTSeq-FPKM/
HTSeq__FPKM_UQ: FLOAT | Fragments Per Kilobase of transcript per Million mapped reads (FPKM) is a simple expression level normalization method. The FPKM normalizes read count based on gene length and the total number of mapped reads. https://docs.gdc.cancer.gov/Encyclopedia/pages/HTSeq-FPKM/

[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
@use: [C13]
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba26
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba33
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-18

## TCGA_VERSIONED.SOMATIC_MUTATION_HG19_MC3_2017_02
@use: [C2, C22, C25, C6]
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
AMR_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined American population
STRAND: NUMBER | DNA strand (1 or -1) on which the transcript/feature lies
n_alt_count: NUMBER | Read depth supporting the variant allele in normal BAM (cleared in somatic MAF)
DBVS: TEXT | |-delimited list eg byCluster|by1000G
GMAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
EUR_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined European population
AFR_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined African population
EAS_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined East Asian population
n_ref_count: NUMBER | Read depth supporting the reference allele in normal BAM (cleared in somatic MAF)
NCALLERS: NUMBER | Number of callers: a value between 2 and 8 (most common is 5)
HGNC_ID: NUMBER | Gene identifier from the HUGO Gene Nomenclature Committee if applicable
ASN_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined Asian population
SAS_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined South Asian population
Chromosome: TEXT | Chromosome, possible values: 1, X, etc (ie does not include chr prefix)

## TCGA_VERSIONED.DNA_METHYLATION_CHR4_HG38_GDC_2017_01
@use: [C13]
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-20
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba28
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba35

## TCGA_VERSIONED.DNA_METHYLATION_CHR15_HG19_GDC_2017_01
@use: [C13]
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27

## TCGA_VERSIONED.DNA_METHYLATION_HG38_GDC_2017_01
@use: [C13]
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba18
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba11
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-03
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R36
@use: [C3, C9]
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
program_name: TEXT | Program name, eg TCGA or TARGET
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform used to generate data (null, Illumina)
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null

## TCGA_VERSIONED.DNA_METHYLATION_CHR14_HG38_GDC_2017_01
@use: [C13]
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba17
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-09
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba24

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R34
@use: [C3, C9]
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform used to generate data (null, Illumina)
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
program_name: TEXT | Program name, eg TCGA or TARGET

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG19_GDC_R24
@use: [C3, C9]
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
platform: TEXT | Platform used to generate data (null, Illumina)
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
program_name: TEXT | Program name, eg TCGA or TARGET
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37

## TCGA_VERSIONED.MIRNASEQ_ISOFORM_HG38_GDC_R14
@use: [C23, C29]
mirna_transcript: TEXT | The type of transcript -- either mature, precursor, unannotated, or stemloop  (if this value is not mature, then the mirna_accession field will be null)
strand: TEXT | Either + or - to denote whether read mapped to the sense (+) or anti-sense (-) strand
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-29
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
mirna_accession: TEXT | The mature miRNA accession id (eg MIMAT0000062) -- note that this can also be null, in the event that this read does not map to a mature portion of the miRNA
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_OVARIAN_JHU_PDC_V1_19
@use: [C11, C5]
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
gene_description: TEXT | Description of the gene, sourced by PDC from NCBI
chromosome: TEXT | NCBI gene chromosome
protein_abundance_log2ratio: TEXT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample

## TCGA_VERSIONED.DNA_METHYLATION_CHR19_HG19_GDC_2017_01
@use: [C13]
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R40
@use: [C3, C9]
program_name: TEXT | Program name, e.g. TCGA or TARGET
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation, eg. TCGA-OV, etc.
case_barcode: TEXT | Submitter identifier, e.g. HCC1954, TCGA-ZX-AA5X, etc.
sample_barcode: TEXT | Original/submitter sample ID
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)--this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba4
case_gdc_id: TEXT | GDC unique identifier
sample_type_name: TEXT | The longer name of the sample type, e.g. Primary Tumor, Recurrent Tumor, etc.
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), e.g. a1ec9279-c1a6-4e58-97ed-9ec1f36187c5--this can be used to access more information from the GDC data portal
platform: TEXT | Platform used to generate this data, e.g. Illumina, Affymetrix SNP 6.10
file_type: TEXT | File type--e.g. aligned_reads, simple_somatic_mutation, gene_expression, etc.
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.

## TCGA_VERSIONED.RNASEQ_HG38_GDC_2017_12
@use: [C31, C39]
platform: TEXT | Platform used to generate data; either IlluminaHiSeqor IlluminaGA
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-31
gene_type: TEXT | The type of genetic element the reads mapped to, eg protein_coding, ribozyme
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba36
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba43
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
gene_name: TEXT | Gene name e.g. TTN, DDR1, etc.

## TCGA_VERSIONED.RNASEQ_HG19_GDC_2017_02
original_gene_symbol: TEXT | Gene symbol from the original data file, differs if the approved gene symbol has since changed, eg C11orf17 became AKIP1
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
HGNC_gene_symbol: TEXT | HUGO Gene Nomenclature Committee gene symbol, based on gene_id in original data file, eg AMY1A. Null if no gene symbol could be found (see documentation for additional details regarding ETL) http://isb-cancer-genomics-cloud.readthedocs.io/en/latest/sections/data/data2/ETL_mRNAexpression.html
normalized_count: FLOAT | Normalized gene expression from original rsem.genes.normalized_results file
gene_id: NUMBER | The gene symbol. In this table, gene symbol is gene namee.g. ENSG00000251562
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform used to generate data; either IlluminaHiSeq (for close to 93% of samples) or IlluminaGA

## TCGA_VERSIONED.DNA_METHYLATION_CHR13_HG38_GDC_2017_01
@use: [C13]
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba23
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba16
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-08
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27

## TCGA_VERSIONED.RNASEQ_HG38_GDC_R40
@use: [C27, C31]
case_barcode: TEXT | Original case barcode
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode)
platform: TEXT | Platform used to generate data; eg. IlluminaHiSeq or IlluminaGA
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode)
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
aliquot_barcode: TEXT | TCGA aliquot barcode, eg. TCGA-12-1089-01A-01D-0517-31
primary_site: TEXT | Anatomical site of the cancer under investigation or review
gene_type: TEXT | The type of genetic element the reads mapped to, eg. protein_coding, ribozyme
file_gdc_id: TEXT | Unique GDC identifier for the file containing the expression values (corresponds to the file_barcode)
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode)
sample_type_name: TEXT | The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc
sample_barcode: TEXT | sample barcode, eg. TCGA-12-1089-01A. One sample may have multiple sets of expression values corresponding to multiple aliquots; use GROUP BY appropriately in queries
gene_name: TEXT | Gene name eg. TTN, DDR1

## TCGA_VERSIONED.CLINICAL_CPTAC_TCGA_PDC_V1_17
@use: [C17, C30, C36, C7]
primary_site: TEXT | The text term used to describe the general location of the malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
days_to_last_known_disease_status: NUMBER | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
days_to_last_follow_up: NUMBER | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)

## TCGA_VERSIONED.CLINICAL_CPTAC_TCGA_PDC_V2_10
@use: [C17, C30, C36, C7]
primary_site: TEXT | The text term used to describe the general location of the malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
days_to_last_follow_up: FLOAT | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days

## TCGA_VERSIONED.SLIDE_IMAGES_GDC_R17
Focus_Offset: FLOAT | Focus_Offset. Examples: -5.0E-4, 0.0, 5.0E-4, -0.002 (can be null)
level_4__tile_height: TEXT | Level_4_tile_height. Either 256 or null
level_1__downsample: FLOAT | Level_1__downsample.Example: 4.000411015207563 (can be null)
svsFilename: TEXT | SvsFilename. Example: TCGA-CR-7365-01A-01-TS1.811bb2b7-66e3-4694-891b-10b436ec300d.svs
level_3__tile_height: NUMBER | Level_3__tile_height. Either 256 or 240 (can be null)
f0_: TEXT | F0_.Always set to Left
ImageID: NUMBER | ImageID. Examples: 23116, 137444, 41058 (can be null)
ICC_Profile: TEXT | ICC_Profile. Examples: IEC 61966-2.1 Default RGB colour space - sRGB, sRGB built-in - (lcms internal), ScanScope v1, AT2, ATTurboLVF (can be null)
level_3__height: NUMBER | Level_3__height. Examples: 1577, 2500, 1014 (can be null)
ScanScope_ID: TEXT | ScanScope_ID. Examples: SS1436CNTLR, R0251491 (can be null)
OriginalWidth: NUMBER | OriginalWidth. Examples:126000, 99000, 72000, 18000 (can be null)
Parmset: TEXT | Parmset. Examples: GOG136 on RESBPCLACIE02, CHTN FocusRad22 on RESBPCLACIE01, EPC, Double Slide, None, TMA, FAINT NO LABEL, Gain Adjust Low, GOG136, John +Points WITH Label (can be null)
Time: TEXT | Time. Example: 04:55:13 PM(can be null)
level_4__tile_width: TEXT | Level_4__tile_width.Either 256 or 240 (can be null)
level_2__height: NUMBER | Level_2__height. Examples: 1577, 2500, 11517 (can be null)
Title: TEXT | TItle. Example: TCGA-AN-A0G0-01A-01-BS1(can be null)
level_3__downsample: FLOAT | Level_3__downsample.Examples: 32.005307846406815,64.02999135068697 (can be null)
file_gdc_id: TEXT | NCI Genomic Data Commons (GDC) file ID. Example:9c4b1b5c-b5cf-48f6-bf41-047ceb8c883c
OriginalHeight: NUMBER | OriginalHeight. Examples:95488, 137472, 22371 (can be null)
slide_id: TEXT | Slide_id. Examples: TS1, DX1, DX2, BS1,DXD, TSA, BSA, BS4
objective_power: NUMBER | Objective_power. Either 5, 20, 40, or null
level_0__downsample: NUMBER | Level_0__downsample. Always set to 1.
Exposure_Scale: FLOAT | Exposure_Scale. Either 1.0E-6 or null
User: TEXT | User. Example:a2c4146-b810-4738-94f1-c720a7c1dfdc (can be null)
Filtered: TEXT | Filtered. Either 3, 5, or null
quickhash_1: TEXT | Quickhash_1. example: 02c468af582de56d21af7aac1bc36f0debbbf6867afa1dc1931b7e81dfc1b88f (can be null)
LineAreaXOffset: FLOAT | LineAreaXOffset. Examples: 0.017044, -0.014041, 0.0 (can be null)
Top: FLOAT | Top. Examples:18,10043,23.493359 (can be null)
Filename: TEXT | Filename. Examples: ImageCollection_0000000557, T7_FFPE_2, collection_0000000353 (can be null)
DisplayColor: NUMBER | DisplayColor. Either 0 or null.
ResolutionUnit: TEXT | ResolutionUnit. Always set to inch
level_3__tile_width: NUMBER | Level_3__tile_width.Either 256 or 240 (can be null)
LineAreaYOffset: FLOAT | LineAreaYOffset. Examples: 0.017044, -0.014041, 0.0 (can be null)
level_0__width: NUMBER | Level_0__width.Examples: 9734, 60169, 7427
AppMag: FLOAT | AppMag. Examples: 20.0, 40.0, 5.0 (can be null)
sample_barcode: TEXT | TCGA sample barcode. Example:TCGA-CR-7365-01A. See https://docs.gdc.cancer.gov/Encyclopedia/pages/TCGA_Barcode/
file_gcs_url: TEXT | Google Cloud Storage (GCS) location ID. Example: gs://gdc-TCGA-phs000178-open/9c4b1b5c-b5cf-48f6-bf41-047ceb8c883c/TCGA-CR-7365-01A-01-TS1.811bb2b7-66e3-4694-891b-10b436ec300d.svs
Exposure_Time: NUMBER | Exposure_Time. Examples: 45, 109 (can be null)
level_0__tile_width: NUMBER | Level_0__tile_width. Either 256 or 240.
